OBJECTID,TRACT_FIPS,ASTHMA_ADJRATE,ASTHMA_L95CI,ASTHMA_U95CI,ASTHMA_STATEADJRATE,ASTHMA_SL95CI,ASTHMA_SU95CI,TRACT_NAME,COUNTY_NAME,ASTHMA_DISPLAY,DIABETES_ADJRATE,DIABETES_L95CI,DIABETES_U95CI,DIABETES_STATEADJRATE,DIABETES_SL95CI,DIABETES_SU95CI,DIABETES_DISPLAY,HD_ADJRATE,HD_L95CI,HD_U95CI,HD_STATEADJRATE,HD_SL95CI,HD_SU95CI,HD_DISPLAY,LWB_ADJRATE,LWB_L95CI,LWB_U95CI,LWB_STATEADJRATE,LWB_SL95CI,LWB_SU95CI,LWB_DISPLAY,TF_ADJRATE,TF_L95CI,TF_U95CI,TF_STATEADJRATE,TF_SL95CI,TF_SU95CI,TF_DISPLAY,MVA_ADJRATE,MVA_L95CI,MVA_U95CI,MVA_STATEADJRATE,MVA_SL95CI,MVA_SU95CI,MVA_DISPLAY,SUICIDE_ADJRATE,SUICIDE_L95CI,SUICIDE_U95CI,SUICIDE_STATEADJRATE,SUICIDE_SL95CI,SUICIDE_SU95CI,SUICIDE_DISPLAY,INFLUENZA_ADJRATE,INFLUENZA_L95CI,INFLUENZA_U95CI,INFLUENZA_STATEADJRATE,INFLUENZA_SL95CI,INFLUENZA_SU95CI,INFLUENZA_DISPLAY,POD_DEATH_ADJRATE,POD_DEATH_L95CI,POD_DEATH_U95CI,POD_DEATH_STATEADJRATE,POD_DEATH_STATEL95CI,POD_DEATH_STATEU95CI,POD_DISPLAY
749,08101002901,1314.27,1123.63,1504.91,619.91,617,622.82,"Census Tract 29.01, Pueblo County, Colorado",PUEBLO,Higher Than State Average,3928.79,3613.36,4244.23,1281.52,1277.48,1285.56,Higher Than State Average,124.53,67.88,181.18,127.12,125.8,128.44,Not Different Than State Average,9.77,5.8,13.74,7.43,7.34,7.52,Not Different Than State Average,11.77,3.73,24.21,7.01,6.78,7.24,Not Different Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,23.98,5.57,55.27,20.68,20.15,21.22,Not Different Than State Average,50.85,21.1,93.46,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
750,08101002500,1249.98,1044.69,1455.27,619.91,617,622.82,"Census Tract 25, Pueblo County, Colorado",PUEBLO,Higher Than State Average,3108.44,2800.31,3416.58,1281.52,1277.48,1285.56,Higher Than State Average,162.66,86.04,239.29,127.12,125.8,128.44,Not Different Than State Average,9.76,5.21,14.3,7.43,7.34,7.52,Not Different Than State Average,24.39,7.79,49.89,7.01,6.78,7.24,Higher Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,67.22,30.23,118.77,20.68,20.15,21.22,Higher Than State Average,72.37,33.72,125.59,54.87,54,55.75,Not Different Than State Average,20.18,3.21,51.74,9.25,8.89,9.6,Not Different Than State Average
751,08101003103,997.1,782.35,1211.86,619.91,617,622.82,"Census Tract 31.03, Pueblo County, Colorado",PUEBLO,Higher Than State Average,2783.38,2444.46,3122.29,1281.52,1277.48,1285.56,Higher Than State Average,192.33,108.59,276.06,127.12,125.8,128.44,Not Different Than State Average,8.43,3.46,15.32,7.43,7.34,7.52,Not Different Than State Average,27.27,5.24,65.77,7.01,6.78,7.24,Not Different Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,0,0,0,20.68,20.15,21.22,No Events or Data Suppressed,133.3,69.49,217.67,54.87,54,55.75,Higher Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
752,08101003001,565.24,384.21,746.27,619.91,617,622.82,"Census Tract 30.01, Pueblo County, Colorado",PUEBLO,Not Different Than State Average,2579.36,2172.74,2985.98,1281.52,1277.48,1285.56,Higher Than State Average,188.43,101.76,301.54,127.12,125.8,128.44,Not Different Than State Average,16.3,8.76,23.85,7.43,7.34,7.52,Higher Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,108.86,46.14,198.05,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
753,08101001000,1469.72,1304.62,1634.81,619.91,617,622.82,"Census Tract 10, Pueblo County, Colorado",PUEBLO,Higher Than State Average,4857.22,4569.79,5144.66,1281.52,1277.48,1285.56,Higher Than State Average,143.03,92.07,194,127.12,125.8,128.44,Not Different Than State Average,10.7,7.56,13.83,7.43,7.34,7.52,Higher Than State Average,34.48,17.34,51.63,7.01,6.78,7.24,Higher Than State Average,24.65,8.74,48.63,10.87,10.49,11.26,Not Different Than State Average,41.96,19.98,72.01,20.68,20.15,21.22,Not Different Than State Average,170.21,109.59,230.83,54.87,54,55.75,Higher Than State Average,16.33,4.13,36.59,9.25,8.89,9.6,Not Different Than State Average
754,08101000904,1069.1,901.18,1237.02,619.91,617,622.82,"Census Tract 9.04, Pueblo County, Colorado",PUEBLO,Higher Than State Average,2672.21,2460.28,2884.14,1281.52,1277.48,1285.56,Higher Than State Average,124.28,90.59,157.96,127.12,125.8,128.44,Not Different Than State Average,11.11,6.92,15.3,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,18.95,4.67,42.84,20.68,20.15,21.22,Not Different Than State Average,60.38,27.09,93.67,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
755,08101003004,504.29,392.56,616.02,619.91,617,622.82,"Census Tract 30.04, Pueblo County, Colorado",PUEBLO,Lower Than State Average,1281.8,1130.31,1433.29,1281.52,1277.48,1285.56,Not Different Than State Average,75.25,39.43,111.07,127.12,125.8,128.44,Lower Than State Average,6,2.22,11.47,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,26.23,6.6,58.88,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
756,08101001100,1601.79,1326.18,1877.4,619.91,617,622.82,"Census Tract 11, Pueblo County, Colorado",PUEBLO,Higher Than State Average,3995.21,3613.57,4376.85,1281.52,1277.48,1285.56,Higher Than State Average,203.8,121.55,286.05,127.12,125.8,128.44,Not Different Than State Average,10.81,6.34,15.29,7.43,7.34,7.52,Not Different Than State Average,106.67,47.43,185.97,7.01,6.78,7.24,Higher Than State Average,57.79,21.41,111.87,10.87,10.49,11.26,Higher Than State Average,24.78,4.01,63.26,20.68,20.15,21.22,Not Different Than State Average,82.39,37.23,145.23,54.87,54,55.75,Not Different Than State Average,25.76,4.41,64.82,9.25,8.89,9.6,Not Different Than State Average
757,08101000902,794.14,696.34,891.93,619.91,617,622.82,"Census Tract 9.02, Pueblo County, Colorado",PUEBLO,Higher Than State Average,2293.4,2137.05,2449.75,1281.52,1277.48,1285.56,Higher Than State Average,141.66,102.15,181.16,127.12,125.8,128.44,Not Different Than State Average,9.61,6.54,12.67,7.43,7.34,7.52,Not Different Than State Average,22.22,8.08,43.16,7.01,6.78,7.24,Higher Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,17.95,6.22,35.74,20.68,20.15,21.22,Not Different Than State Average,59.98,34.72,85.24,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
758,08101003200,627.15,504.63,749.66,619.91,617,622.82,"Census Tract 32, Pueblo County, Colorado",PUEBLO,Not Different Than State Average,1823.22,1632.16,2014.27,1281.52,1277.48,1285.56,Higher Than State Average,101.24,56.71,145.77,127.12,125.8,128.44,Not Different Than State Average,4.29,1.57,8.25,7.43,7.34,7.52,Not Different Than State Average,13.04,2.48,31.73,7.01,6.78,7.24,Not Different Than State Average,32.77,11.1,65.88,10.87,10.49,11.26,Not Different Than State Average,17.95,3.4,43.96,20.68,20.15,21.22,Not Different Than State Average,75.23,33.94,116.52,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
759,08101000400,680.11,541.59,818.63,619.91,617,622.82,"Census Tract 4, Pueblo County, Colorado",PUEBLO,Not Different Than State Average,2356.34,2111.1,2601.58,1281.52,1277.48,1285.56,Higher Than State Average,131.41,75.28,187.54,127.12,125.8,128.44,Not Different Than State Average,7.69,3.51,11.87,7.43,7.34,7.52,Not Different Than State Average,11.63,3.69,23.93,7.01,6.78,7.24,Not Different Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,36.61,11.5,75.87,20.68,20.15,21.22,Not Different Than State Average,88.98,45.88,146.2,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
760,08101002806,686.95,574.33,799.56,619.91,617,622.82,"Census Tract 28.06, Pueblo County, Colorado",PUEBLO,Not Different Than State Average,1616.27,1452.41,1780.14,1281.52,1277.48,1285.56,Higher Than State Average,77.42,39.16,115.68,127.12,125.8,128.44,Lower Than State Average,7.45,3.4,11.51,7.43,7.34,7.52,Not Different Than State Average,4.2,0.79,10.26,7.01,6.78,7.24,Not Different Than State Average,12.26,1.88,31.71,10.87,10.49,11.26,Not Different Than State Average,24.89,8.18,50.67,20.68,20.15,21.22,Not Different Than State Average,35.05,14.37,64.78,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
761,08101000300,158.28,64.21,252.35,619.91,617,622.82,"Census Tract 3, Pueblo County, Colorado",PUEBLO,Lower Than State Average,816.17,627.32,1005.02,1281.52,1277.48,1285.56,Lower Than State Average,42.1,10.6,94.49,127.12,125.8,128.44,Lower Than State Average,0,0,0,7.43,7.34,7.52,No Events or Data Suppressed,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,0,0,0,20.68,20.15,21.22,No Events or Data Suppressed,0,0,0,54.87,54,55.75,No Events or Data Suppressed,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
762,08101002804,558.25,452.37,664.13,619.91,617,622.82,"Census Tract 28.04, Pueblo County, Colorado",PUEBLO,Not Different Than State Average,1352.71,1209.1,1496.32,1281.52,1277.48,1285.56,Not Different Than State Average,177.41,121.04,233.77,127.12,125.8,128.44,Not Different Than State Average,2.5,0.48,6.04,7.43,7.34,7.52,Lower Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,23.55,8.03,47.2,20.68,20.15,21.22,Not Different Than State Average,69.42,35.5,103.34,54.87,54,55.75,Not Different Than State Average,23.58,8.05,47.24,9.25,8.89,9.6,Not Different Than State Average
763,08101001200,1009.42,819.72,1199.12,619.91,617,622.82,"Census Tract 12, Pueblo County, Colorado",PUEBLO,Higher Than State Average,3997.19,3642.73,4351.66,1281.52,1277.48,1285.56,Higher Than State Average,196.89,118.81,274.97,127.12,125.8,128.44,Not Different Than State Average,9.42,4.55,14.29,7.43,7.34,7.52,Not Different Than State Average,32.43,11.84,62.72,7.01,6.78,7.24,Higher Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,29.58,6.39,69.7,20.68,20.15,21.22,Not Different Than State Average,133,61.79,204.22,54.87,54,55.75,Higher Than State Average,59.77,23.24,113.22,9.25,8.89,9.6,Higher Than State Average
764,08101000600,1913.58,1614.51,2212.64,619.91,617,622.82,"Census Tract 6, Pueblo County, Colorado",PUEBLO,Higher Than State Average,4299.9,3920.71,4679.08,1281.52,1277.48,1285.56,Higher Than State Average,91.52,41.02,161.99,127.12,125.8,128.44,Not Different Than State Average,7.65,3.65,11.64,7.43,7.34,7.52,Not Different Than State Average,41.38,15.17,79.72,7.01,6.78,7.24,Higher Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,54.08,17.57,110.58,20.68,20.15,21.22,Not Different Than State Average,102.91,48.76,177.03,54.87,54,55.75,Not Different Than State Average,44.17,12.14,96.2,9.25,8.89,9.6,Higher Than State Average
765,08101002807,961.32,825.69,1096.94,619.91,617,622.82,"Census Tract 28.07, Pueblo County, Colorado",PUEBLO,Higher Than State Average,1786.12,1624.31,1947.92,1281.52,1277.48,1285.56,Higher Than State Average,87.78,54.94,120.62,127.12,125.8,128.44,Lower Than State Average,7.05,3.82,10.29,7.43,7.34,7.52,Not Different Than State Average,18.18,6.6,35.37,7.01,6.78,7.24,Not Different Than State Average,25.29,9.18,49.38,10.87,10.49,11.26,Not Different Than State Average,31.46,13.03,57.87,20.68,20.15,21.22,Not Different Than State Average,61.47,30.35,92.58,54.87,54,55.75,Not Different Than State Average,14.36,3.21,33.51,9.25,8.89,9.6,Not Different Than State Average
766,08101002808,437.77,319.36,556.18,619.91,617,622.82,"Census Tract 28.08, Pueblo County, Colorado",PUEBLO,Lower Than State Average,1037.97,903.48,1172.47,1281.52,1277.48,1285.56,Lower Than State Average,94.99,48.47,141.51,127.12,125.8,128.44,Not Different Than State Average,4.49,1.2,9.75,7.43,7.34,7.52,Not Different Than State Average,10,3.17,20.59,7.01,6.78,7.24,Not Different Than State Average,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,96.7,55.22,149.7,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
767,08101001500,911.63,730.9,1092.36,619.91,617,622.82,"Census Tract 15, Pueblo County, Colorado",PUEBLO,Higher Than State Average,2316.42,2051.73,2581.12,1281.52,1277.48,1285.56,Higher Than State Average,102.15,40.8,163.5,127.12,125.8,128.44,Not Different Than State Average,6.54,2.66,11.98,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,36.15,9.99,78.56,20.68,20.15,21.22,Not Different Than State Average,51,18.41,99.85,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
768,08101000100,907.44,737.22,1077.67,619.91,617,622.82,"Census Tract 1, Pueblo County, Colorado",PUEBLO,Higher Than State Average,1581.94,1380.66,1783.22,1281.52,1277.48,1285.56,Higher Than State Average,63.54,29.34,97.74,127.12,125.8,128.44,Lower Than State Average,12.2,6.41,17.98,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,28.35,6.73,64.88,10.87,10.49,11.26,Not Different Than State Average,,,,20.68,20.15,21.22,No Events or Data Suppressed,44.8,12.81,76.8,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
769,08035014006,652.7,546.51,758.88,619.91,617,622.82,"Census Tract 140.06, Douglas County, Colorado",DOUGLAS,Not Different Than State Average,1195.8,1044.16,1347.44,1281.52,1277.48,1285.56,Not Different Than State Average,104.38,56.25,152.5,127.12,125.8,128.44,Not Different Than State Average,5.25,3.16,7.34,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,17.46,6.32,34.13,20.68,20.15,21.22,Not Different Than State Average,55.95,23.83,88.07,54.87,54,55.75,Not Different Than State Average,13.41,3.99,28.36,9.25,8.89,9.6,Not Different Than State Average
770,08035013910,431.73,359.31,504.16,619.91,617,622.82,"Census Tract 139.10, Douglas County, Colorado",DOUGLAS,Lower Than State Average,769.51,678.48,860.55,1281.52,1277.48,1285.56,Lower Than State Average,45.54,22.3,68.78,127.12,125.8,128.44,Lower Than State Average,6.46,3.79,9.13,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,7.59,1.35,18.89,20.68,20.15,21.22,Lower Than State Average,44.38,21.9,66.86,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
771,08035014140,477.21,374.99,579.42,619.91,617,622.82,"Census Tract 141.40, Douglas County, Colorado",DOUGLAS,Lower Than State Average,820.79,682.21,959.38,1281.52,1277.48,1285.56,Lower Than State Average,48.98,9.67,88.29,127.12,125.8,128.44,Lower Than State Average,5.88,2.97,9.7,7.43,7.34,7.52,Not Different Than State Average,3.53,0.67,8.63,7.01,6.78,7.24,Not Different Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,19.88,6.54,40.45,20.68,20.15,21.22,Not Different Than State Average,40.07,19.61,67.76,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
772,08035014132,356.86,275.62,438.1,619.91,617,622.82,"Census Tract 141.32, Douglas County, Colorado",DOUGLAS,Lower Than State Average,500.23,389.52,610.94,1281.52,1277.48,1285.56,Lower Than State Average,127.46,65.26,189.66,127.12,125.8,128.44,Not Different Than State Average,6.92,3.29,10.54,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,17.16,5.81,34.52,20.68,20.15,21.22,Not Different Than State Average,40.31,21.31,65.31,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
773,08035014130,887.2,591.91,1182.49,619.91,617,622.82,"Census Tract 141.30, Douglas County, Colorado",DOUGLAS,Not Different Than State Average,1749.51,1329.69,2169.33,1281.52,1277.48,1285.56,Higher Than State Average,261.49,59.5,463.48,127.12,125.8,128.44,Not Different Than State Average,6.43,4.08,8.77,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,7.61,1.32,19.1,20.68,20.15,21.22,Lower Than State Average,76.73,-16.88,170.33,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
774,08035014124,491.59,398.1,585.08,619.91,617,622.82,"Census Tract 141.24, Douglas County, Colorado",DOUGLAS,Lower Than State Average,835,702.44,967.55,1281.52,1277.48,1285.56,Lower Than State Average,65.46,38.26,99.92,127.12,125.8,128.44,Lower Than State Average,4.97,2.41,8.4,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,51.83,28.02,82.89,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
775,08035014405,563.87,477.17,650.57,619.91,617,622.82,"Census Tract 144.05, Douglas County, Colorado",DOUGLAS,Not Different Than State Average,922.3,806.51,1038.1,1281.52,1277.48,1285.56,Lower Than State Average,100.16,44.96,155.36,127.12,125.8,128.44,Not Different Than State Average,5.53,3.28,7.77,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,7.47,1.3,18.72,10.87,10.49,11.26,Not Different Than State Average,31.12,15.88,51.44,20.68,20.15,21.22,Not Different Than State Average,39.44,21.96,62,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
776,08035014505,574.24,484.08,664.41,619.91,617,622.82,"Census Tract 145.05, Douglas County, Colorado",DOUGLAS,Not Different Than State Average,844.17,745.46,942.88,1281.52,1277.48,1285.56,Lower Than State Average,129.37,88.77,169.98,127.12,125.8,128.44,Not Different Than State Average,7.33,4.24,10.42,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,14.43,3.91,31.57,20.68,20.15,21.22,Not Different Than State Average,51.58,22.2,80.97,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
777,08035014603,550.02,463.91,636.13,619.91,617,622.82,"Census Tract 146.03, Douglas County, Colorado",DOUGLAS,Not Different Than State Average,1354.1,1193.82,1514.38,1281.52,1277.48,1285.56,Not Different Than State Average,27.77,12.96,48.15,127.12,125.8,128.44,Lower Than State Average,6.26,4.25,8.27,7.43,7.34,7.52,Not Different Than State Average,5.68,1.8,11.72,7.01,6.78,7.24,Not Different Than State Average,15.33,5.04,31.18,10.87,10.49,11.26,Not Different Than State Average,17.77,6.48,34.62,20.68,20.15,21.22,Not Different Than State Average,58.02,24.66,91.38,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
778,08035014403,473.76,389.97,557.54,619.91,617,622.82,"Census Tract 144.03, Douglas County, Colorado",DOUGLAS,Lower Than State Average,1061.78,948.45,1175.1,1281.52,1277.48,1285.56,Lower Than State Average,85.74,48.84,122.64,127.12,125.8,128.44,Lower Than State Average,5.03,2.19,8.96,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,16.01,4.99,33.28,10.87,10.49,11.26,Not Different Than State Average,14.71,4.28,31.39,20.68,20.15,21.22,Not Different Than State Average,55.73,25.67,85.79,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
779,08035014404,461.07,336.5,585.64,619.91,617,622.82,"Census Tract 144.04, Douglas County, Colorado",DOUGLAS,Lower Than State Average,660.25,543.94,776.55,1281.52,1277.48,1285.56,Lower Than State Average,49.61,18.77,95.15,127.12,125.8,128.44,Lower Than State Average,8.57,3.2,16.2,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,43.86,15.3,87.12,20.68,20.15,21.22,Not Different Than State Average,30.12,7.71,67.23,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
780,08035014128,540.07,432.79,647.35,619.91,617,622.82,"Census Tract 141.28, Douglas County, Colorado",DOUGLAS,Not Different Than State Average,800.75,663.41,938.1,1281.52,1277.48,1285.56,Lower Than State Average,30.36,12.4,56.21,127.12,125.8,128.44,Lower Than State Average,5.56,2.82,8.29,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,16.81,4.46,37.06,20.68,20.15,21.22,Not Different Than State Average,65.56,37.32,101.69,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
781,08035014129,417.84,316.74,518.95,619.91,617,622.82,"Census Tract 141.29, Douglas County, Colorado",DOUGLAS,Lower Than State Average,614.23,491.46,736.99,1281.52,1277.48,1285.56,Lower Than State Average,16.5,3.23,40.03,127.12,125.8,128.44,Lower Than State Average,7.2,3.35,12.36,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,14.57,2.41,36.99,20.68,20.15,21.22,Not Different Than State Average,22.65,6.22,49.35,54.87,54,55.75,Lower Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
782,08035014134,501.87,396.99,606.75,619.91,617,622.82,"Census Tract 141.34, Douglas County, Colorado",DOUGLAS,Lower Than State Average,541.78,418.44,665.12,1281.52,1277.48,1285.56,Lower Than State Average,94.72,63.86,131.65,127.12,125.8,128.44,Not Different Than State Average,4.74,2.29,8.01,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,23.82,9.85,43.86,20.68,20.15,21.22,Not Different Than State Average,34.98,17.41,58.61,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
783,08035014136,462.58,387.18,537.97,619.91,617,622.82,"Census Tract 141.36, Douglas County, Colorado",DOUGLAS,Lower Than State Average,1018.52,888.78,1148.26,1281.52,1277.48,1285.56,Lower Than State Average,45.28,14.14,76.43,127.12,125.8,128.44,Lower Than State Average,5.33,3.5,7.15,7.43,7.34,7.52,Lower Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,17.47,7.65,31.28,20.68,20.15,21.22,Not Different Than State Average,48.03,23.78,72.28,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
784,08035014138,387.09,284.17,490.01,619.91,617,622.82,"Census Tract 141.38, Douglas County, Colorado",DOUGLAS,Lower Than State Average,756.9,632.3,881.5,1281.52,1277.48,1285.56,Lower Than State Average,22.75,5.13,52.93,127.12,125.8,128.44,Lower Than State Average,3.85,1.67,6.88,7.43,7.34,7.52,Lower Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,29.12,8.36,62.44,20.68,20.15,21.22,Not Different Than State Average,35.67,12.02,71.88,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
785,08035014139,442.75,355.3,530.21,619.91,617,622.82,"Census Tract 141.39, Douglas County, Colorado",DOUGLAS,Lower Than State Average,794.31,690.2,898.42,1281.52,1277.48,1285.56,Lower Than State Average,68.52,39.89,97.15,127.12,125.8,128.44,Lower Than State Average,5.71,2.77,9.63,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,32.45,12.58,61.53,20.68,20.15,21.22,Not Different Than State Average,48.35,23.76,72.93,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
786,08035014126,418.52,250.06,586.97,619.91,617,622.82,"Census Tract 141.26, Douglas County, Colorado",DOUGLAS,Lower Than State Average,1518.03,1184.94,1851.12,1281.52,1277.48,1285.56,Not Different Than State Average,128.17,69.21,205.11,127.12,125.8,128.44,Not Different Than State Average,4.54,1.21,9.85,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,86.56,39.71,151.41,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
787,08035014203,511.97,428.6,595.34,619.91,617,622.82,"Census Tract 142.03, Douglas County, Colorado",DOUGLAS,Lower Than State Average,592.01,493.12,690.9,1281.52,1277.48,1285.56,Lower Than State Average,59.12,35.93,88.05,127.12,125.8,128.44,Lower Than State Average,4.29,1.91,6.66,7.43,7.34,7.52,Lower Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,11.38,2.82,25.7,20.68,20.15,21.22,Not Different Than State Average,41.54,22.57,66.26,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
788,08035014406,516.55,460.35,572.74,619.91,617,622.82,"Census Tract 144.06, Douglas County, Colorado",DOUGLAS,Lower Than State Average,801.43,729.92,872.94,1281.52,1277.48,1285.56,Lower Than State Average,79.46,58.37,100.54,127.12,125.8,128.44,Lower Than State Average,7.15,5.38,8.93,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,10.98,4.49,20.33,20.68,20.15,21.22,Not Different Than State Average,45.47,29.19,61.75,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
